,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI-VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,TOSCANA,UMBRIA,VENETO,Totale complessivo
Dicembre_2014,8.161,13.955,17.054,288.718,43.710,55.852,1.132.047,6.324,76.959,27.621,3.426,124.858,19.991,11.266,337.228,13.045,51.198,2.231.413
Totale_regione_2014,168.104,227.402,401.634,6.596.544,916.530,1.295.192,18.515.841,133.954,1.500.416,477.696,78.812,1.728.252,553.782,446.399,6.547.655,242.153,914.397,40.744.763
Gennaio_2015,5.551,9.995,13.388,236.676,49.855,23.260,1.020.054,7.836,80.777,22.904,1.730,114.660,10.501,10.365,312.184,11.516,47.044,1.978.296
Febbraio_2015,5.956,5.241,9.736,183.044,39.994,18.896,1.065.531,5.920,79.800,13.024,1.271,54.590,13.636,7.118,351.987,7.126,53.701,1.916.571
Marzo_2015,10.308,14.489,20.063,489.747,93.400,106.347,1.519.746,7.819,126.299,36.838,3.500,95.369,32.836,16.843,554.449,19.602,103.835,3.251.490
Aprile_2015,19.082,42.310,41.108,822.331,167.963,157.099,2.119.085,14.463,206.131,83.673,11.853,271.748,85.555,46.219,761.794,33.796,116.693,5.000.903
Maggio_2015,19.953,42.004,51.582,990.550,158.382,154.468,2.132.113,19.150,211.954,76.374,12.962,299.551,108.220,78.095,744.148,29.751,112.208,5.241.465
Giugno_2015,9.865,19.989,28.160,743.861,68.994,141.971,1.749.179,12.047,133.308,36.868,5.758,196.335,46.753,51.534,649.087,16.670,78.158,3.988.537
Luglio_2015,12.882,18.488,30.806,735.262,62.203,127.069,1.935.633,8.333,147.437,40.062,5.206,110.324,44.122,60.345,676.651,20.621,74.478,4.109.922
Agosto_2015,39.116,38.432,74.362,800.478,90.498,147.691,2.128.781,12.547,180.390,85.635,14.964,191.371,87.246,95.695,680.217,38.179,85.998,4.791.600
Settembre_2015,13.971,26.144,35.372,741.186,94.465,111.757,2.129.601,14.275,169.252,43.673,8.339,142.509,65.116,74.848,701.053,22.220,91.440,4.485.221
Ottobre_2015,7.440,18.784,23.713,653.215,90.474,111.778,2.110.553,9.333,141.693,26.138,4.169,165.212,45.807,33.833,613.523,16.816,100.504,4.172.985
Novembre_2015,6.603,10.903,14.592,323.204,47.679,47.330,1.353.822,5.671,90.463,18.231,2.555,140.838,25.451,9.822,349.208,10.373,55.447,2.512.192
Dicembre_2015,10.268,9.305,14.633,353.288,44.531,66.882,1.100.858,7.685,85.094,30.128,3.737,159.421,25.974,9.911,352.089,14.926,54.250,2.342.980
Totale_regione_2015,160.995,256.084,357.515,7.072.842,1.008.438,1.214.548,20.364.956,125.079,1.652.598,513.548,76.044,1.941.928,591.217,494.628,6.746.390,241.596,973.756,43.792.162
Gennaio_2016,8.459,8.189,12.207,257.980,44.162,71.886,995.656,6.791,76.397,15.919,1.976,168.449,17.319,9.981,269.160,11.988,47.239,2.023.758
Febbraio_2016,5.956,6.463,9.986,258.018,44.857,35.808,1.258.102,5.475,78.887,15.312,2.432,101.092,16.085,8.097,310.241,10.195,72.846,2.239.852
Marzo_2016,15.628,17.023,25.379,570.471,117.467,98.491,1.852.536,13.619,154.875,43.162,7.462,195.570,45.073,22.704,563.987,26.516,96.116,3.866.079
Aprile_2016,15.918,34.252,42.213,969.445,180.753,129.783,2.141.485,26.523,221.747,82.671,12.833,331.515,86.588,43.670,655.453,33.316,136.711,5.144.876
Maggio_2016,17.255,34.448,63.747,967.245,141.996,115.156,2.123.839,24.046,202.341,62.217,11.556,252.358,102.951,70.576,658.036,28.491,114.462,4.990.720
Giugno_2016,9.906,22.360,47.214,815.901,81.935,138.883,1.753.363,12.714,158.353,44.987,4.850,190.124,49.938,58.145,630.383,23.012,91.822,4.133.890
Luglio_2016,12.851,16.575,56.491,816.317,65.734,132.423,1.894.477,21.873,167.225,50.462,6.275,177.726,46.199,72.517,661.273,25.021,84.374,4.307.813
Agosto_2016,24.479,36.728,125.906,911.604,93.232,153.810,1.964.747,37.057,191.333,86.985,17.230,256.286,90.550,106.806,692.606,47.294,90.426,4.927.079
Settembre_2016,9.822,22.083,52.337,820.972,83.022,114.924,1.898.296,16.964,172.005,41.837,4.643,191.613,66.950,69.832,636.952,19.346,91.037,4.312.635
Ottobre_2016,7.723,22.318,29.975,755.952,85.954,91.304,1.993.367,20.507,161.908,34.116,2.831,254.794,55.553,37.427,614.051,20.275,110.917,4.298.972
